HIP,RAhms,DEdms,Vmag,Plx,SpType,BV
1021,00 12 43.49,+65 32 42.8,10.78,3.81,,0.65
1034,00 12 55.71,-23 40 44.0,10.51,5.93,G0,0.57
1036,00 12 59.25,+66 19 19.4,10.54,0.03,,0.82
1041,00 13 01.03,+72 31 19.0,10.59,-4.4,WC8,
1044,00 13 02.62,-45 10 34.8,10.74,27.5,K5,1.308
1045,00 13 03.62,-24 57 16.7,10.1,5.52,F8,0.584
1050,00 13 05.04,+05 37 53.1,11.44,1.56,M0V:,1.2
1055,00 13 09.03,+20 22 56.7,10.41,24.96,M0,1.36
1059,00 13 11.70,+11 43 34.9,10.01,2.43,G0,0.856
1060,00 13 11.95,-30 20 59.4,10.68,5.84,G2,0.6890000000000001
1068,00 13 14.64,+69 19 39.3,12.49,37.3,M6,1.4
1077,00 13 24.20,+65 36 48.5,10.24,0.12,B2.5V,0.57
1080,00 13 27.12,+68 14 53.6,10.88,1.8,,0.39
1082,00 13 28.10,-00 08 51.7,10.68,1.92,,0.738
1083,00 13 29.23,-36 49 40.5,10.77,36.74,,1.444
1092,00 13 37.81,+80 39 55.2,11.14,51.12,M0,1.556
1094,00 13 39.15,-28 18 02.6,10.96,11.12,,0.9520000000000001
1129,00 14 04.19,-43 11 19.5,10.11,7.21,G8III:,
1136,00 14 12.09,-26 05 50.8,10.25,5.7,F5,0.45
1145,00 14 20.44,-01 11 04.7,10.2,2.39,G5,0.794
1159,00 14 27.71,-55 41 48.3,10.17,2.69,F3IV/V,0.47200000000000003
1182,00 14 45.74,-39 14 35.6,11.83,4.81,,
1183,00 14 47.25,-28 58 30.1,10.22,6.24,G0,0.61
1187,00 14 49.78,-28 59 14.6,10.04,13.96,F5,0.84
1222,00 15 14.33,+60 20 25.7,10.55,2.16,F5.5,0.6709999999999999
1224,00 15 14.55,+53 04 26.6,10.36,12.24,K3,0.89
1227,00 15 15.22,+68 00 23.4,11.67,0.79,,0.65
1240,00 15 27.03,+64 16 31.1,10.66,14.39,K3,1.088
1242,00 15 27.67,-16 07 56.3,11.49,191.86,M:,1.75
1262,00 15 50.24,-24 07 23.0,10.44,3.86,G0,0.64
1263,00 15 51.56,+60 25 53.7,10.83,1.85,B8,0.392
1276,00 16 02.03,-48 15 37.0,11.58,41.32,M5,1.6469999999999998
1280,00 16 02.64,-43 07 08.3,10.42,2.87,F2,0.47
1282,00 16 03.32,-25 39 25.7,10.37,2.07,F8,0.564
1295,00 16 14.19,+19 51 44.2,11.79,49.91,M:,1.485
1308,00 16 24.29,-46 43 11.5,11.06,21.82,K5,1.258
1322,00 16 36.27,-50 16 10.8,12.38,44.82,M4,1.53
1334,00 16 43.13,+20 51 24.0,10.01,23.92,K3,0.95
1344,00 16 50.42,+32 27 02.9,10.04,7.98,F8,0.493
1371,00 17 08.59,-36 40 47.8,10.51,1.88,F5,0.53
1373,00 17 11.51,+18 10 42.3,10.18,0.76,K0,1.157
