HIP,RAhms,DEdms,Vmag,Plx,SpType,BV
26906,05 42 43.40,+33 44 20.3,10.09,6.12,F8,0.461
26927,05 42 54.75,-16 46 16.4,10.02,-0.83,,1.077
26950,05 43 07.49,-07 59 57.2,11.8,3.22,,0.384
26960,05 43 16.23,+41 07 06.7,10.31,5.18,,
27000,05 43 40.76,+66 32 54.5,10.69,3.58,,0.616
27008,05 43 45.09,-06 14 40.4,11.9,5.36,,1.213
27033,05 44 01.64,+01 26 08.8,10.39,-0.96,A2,0.295
27066,05 44 23.10,+32 10 24.4,11.12,1.13,,0.8
27070,05 44 26.45,+40 24 27.2,10.03,19.06,,0.993
27111,05 44 56.77,+09 14 37.6,11.35,44.67,F8:,0.6990000000000001
27114,05 45 00.36,-02 35 27.4,10.76,22.07,,1.085
27138,05 45 15.05,-05 06 41.3,10.27,5.35,A2V,0.10099999999999999
27142,05 45 16.61,-68 59 52.0,10.28,-0.17,A1Ia0,0.243
27159,05 45 25.85,+24 04 45.3,10.07,3.45,F0,0.276
27163,05 45 29.34,+32 13 40.0,11.09,-3.83,G0,1.6340000000000001
27168,05 45 30.54,+67 47 43.8,10.85,13.99,,1.1
27194,05 45 51.61,+37 25 36.9,12.49,5.68,,
27231,05 46 16.17,-19 38 09.6,11.38,14.32,,1.15
27234,05 46 16.98,+32 52 24.2,10.43,8.53,G0,0.5479999999999999
27236,05 46 20.39,+25 28 35.2,10.35,7.74,G0,0.848
27242,05 46 26.16,+01 37 45.6,10.39,4.72,F8,0.583
27252,05 46 33.52,+33 31 03.8,11.39,8.82,,1.534
27268,05 46 46.06,+08 45 27.1,10.27,-4.97,K5,1.071
27286,05 46 56.31,-31 41 28.4,11.18,2.6,M6e-M8,1.5
27297,05 47 02.14,-44 48 09.3,10.51,-1.16,,0.6559999999999999
27359,05 47 40.02,-36 19 41.8,10.72,66.71,M2,1.476
27370,05 47 49.58,+61 54 59.4,10.48,0.98,G5,1.044
27394,05 48 05.12,+32 44 22.1,10.62,-7.42,F2,0.43
27401,05 48 10.39,-08 23 21.9,10.02,-8.37,,0.337
27406,05 48 12.06,-01 04 13.5,12.02,9.81,,1.2670000000000001
27397,05 48 17.27,-11 08 07.9,10.98,36.42,,1.3840000000000001
27465,05 48 58.68,+19 04 36.4,10.27,3.32,G0/G1Ie...,
27467,05 49 00.71,-03 18 24.7,12.37,-0.37,,
27526,05 49 43.57,-28 19 13.4,10.11,2.59,Gp,0.5770000000000001
27584,05 50 28.96,+32 12 40.2,10.53,-4.29,,
27643,05 51 05.73,-69 54 06.1,10.61,17.92,G0,0.513
27646,05 51 11.17,+33 35 20.0,10.48,0.27,F0,0.616
27655,05 51 20.78,-70 17 09.3,11.61,0.56,B1.5Ia,-0.048
27675,05 51 31.49,+30 37 39.6,10.48,7.39,,0.91
27683,05 51 38.52,+21 32 28.1,10.74,2.2,B...,0.192
27716,05 52 08.71,-16 04 05.7,10.08,17.64,,0.872
27724,05 52 15.59,+87 13 14.8,10.19,3.99,G2,0.515
27784,05 52 46.55,+32 34 07.3,10.22,-1.19,,1.44
27794,05 52 55.40,+00 09 50.5,10.04,0.38,A3V,0.141
27802,05 52 59.67,+15 10 14.3,10.39,20.53,,1.4
27819,05 53 10.03,-68 07 07.0,11.57,-5.12,B9,0.005
27825,05 53 16.65,+30 32 56.4,10.86,2.09,,1.504
27868,05 53 49.71,-68 18 47.4,11.74,2.68,B5,-0.012
27880,05 53 58.77,-14 22 49.5,11.46,4.38,sdF9:,0.52
27894,05 54 08.87,-33 28 29.9,11.79,17.41,,1.34
27904,05 54 17.85,-25 31 39.0,10.82,16.91,,1.1420000000000001
27909,05 54 19.69,+76 27 46.0,10.65,8.06,K,0.789
27928,05 54 34.05,-09 23 37.0,10.7,26.1,M0,1.172
27930,05 54 36.43,+05 21 03.7,10.28,-1.71,,0.499
27948,05 54 50.62,-65 07 30.1,10.11,17.26,,0.807
27981,05 55 02.83,-06 59 54.3,12.75,,F5...,0.503
27984,05 55 05.86,+64 48 20.0,10.1,-0.9,G5,1.159
27994,05 55 14.47,-00 59 55.4,10.27,-1.73,F8V,0.5489999999999999
27996,05 55 15.04,+76 52 29.8,11.51,8.58,,
28004,05 55 26.63,+08 24 41.7,10.55,2.73,K0,1.13
28008,05 55 28.13,-28 38 17.7,11.79,6.53,,0.73
28035,05 55 43.01,-26 51 23.3,10.7,68.58,,1.054
28041,05 55 49.18,+20 10 30.7,10.62,1.52,M6e-M9.5e,1.5
28053,05 55 55.76,+86 04 52.6,10.93,5.42,,0.64
28061,05 55 59.36,+70 57 50.9,11.0,14.23,,0.5
28062,05 55 59.53,-45 11 24.1,10.51,13.84,,0.895
28095,05 56 19.42,+74 32 45.3,10.07,4.8,F0,0.466
28101,05 56 23.64,+33 17 38.4,10.73,0.91,,1.8030000000000002
28104,05 56 24.59,-27 51 31.0,12.25,-2.46,,0.38
28116,05 56 33.41,-73 45 08.7,12.01,10.75,,1.21
28121,05 56 36.77,+10 32 44.0,12.39,,,
28153,05 56 56.09,-46 55 58.0,10.59,42.17,M:,1.4040000000000001
28172,05 57 08.65,+33 51 36.4,10.35,1.56,R...,1.04
28178,05 57 14.05,-07 17 20.5,10.21,0.82,A0,0.095
28198,05 57 31.13,+33 34 10.4,10.38,1.52,,1.229
28206,05 57 35.18,+32 00 57.7,10.45,2.85,,1.682
28216,05 57 42.39,+22 31 56.5,10.77,5.35,,1.022
28227,05 57 49.87,-14 12 37.9,10.61,5.71,,0.578
28273,05 58 25.42,+23 58 03.4,10.63,6.37,,1.01
28276,05 58 28.91,+26 48 36.9,10.1,-1.68,F2,0.47700000000000004
28279,05 58 30.99,+23 46 22.8,10.18,1.89,,1.15
28319,05 58 59.62,-07 40 03.2,12.8,37.2,,0.27899999999999997
28330,05 59 10.78,+77 49 14.5,10.48,4.26,,1.0
28332,05 59 12.72,+25 20 42.4,10.09,0.49,K0,1.4509999999999998
120002,05 59 25.13,+17 48 59.1,10.48,3.39,,
28355,05 59 29.10,+22 34 50.8,10.46,10.16,,1.9
28365,05 59 33.29,-26 16 33.1,10.91,1.01,,0.8170000000000001
28368,05 59 37.74,+58 35 37.1,10.25,73.58,M1,1.48
28373,05 59 39.02,+19 54 49.2,10.02,2.25,F2,0.355
28376,05 59 40.78,+75 07 59.2,10.32,11.2,G0,0.727
28396,05 59 52.60,-30 51 28.3,10.24,4.5,G0,0.428
28401,05 59 54.11,-29 57 15.7,11.88,6.53,,
28418,06 00 06.61,-00 30 27.0,10.64,2.95,,
28436,06 00 18.30,-65 14 59.6,11.04,6.96,,0.715
28472,06 00 41.02,+24 28 25.9,10.56,-3.79,B3,0.537
28487,06 00 50.51,-05 48 27.7,10.61,3.85,A,0.29100000000000004
28494,06 00 53.99,+21 01 18.7,10.02,31.56,K8,1.23
28541,06 01 30.86,+21 27 37.6,10.37,-3.76,F0,0.35600000000000004
28546,06 01 33.25,-46 39 55.7,11.09,0.87,,0.002
28558,06 01 39.82,+10 54 39.7,10.09,5.34,M6.5,1.2570000000000001
28618,06 02 27.88,-66 47 28.7,12.31,3.68,B3,-0.102
28623,06 02 34.19,-22 42 47.3,10.51,1.04,A0,0.04
28627,06 02 37.92,+04 04 24.7,10.07,4.85,,0.61
28653,06 03 01.59,-08 18 32.6,10.53,-3.28,A,0.14
28684,06 03 22.07,+24 49 24.1,11.06,-4.09,,0.561
28688,06 03 26.08,-51 07 07.2,10.03,1.2,G5,0.502
28695,06 03 30.01,+26 03 36.4,10.58,8.61,,0.804
28699,06 03 38.58,-31 35 25.0,13.25,5.94,,
28711,06 03 50.12,+30 10 09.2,10.95,7.59,O9V,0.305
28736,06 03 58.98,+23 00 31.7,11.04,25.57,,1.26
28726,06 04 03.50,-31 10 14.9,11.55,1.67,Fp,0.614
28753,06 04 18.82,+64 44 55.2,10.88,10.56,,0.58
28754,06 04 19.66,-55 18 49.8,12.14,34.18,K,1.4580000000000002
28773,06 04 32.76,+25 14 45.7,11.17,2.91,,0.5479999999999999
28871,06 05 43.47,+24 08 42.6,10.89,-1.33,,1.238
28887,06 05 57.49,+07 19 05.3,10.31,1.8,F8,0.6759999999999999
28918,06 06 14.86,-07 30 23.9,10.2,-3.87,A0,0.366
28940,06 06 29.90,+04 30 48.2,10.88,17.02,K4:,1.0090000000000001
29021,06 07 25.34,+02 08 22.0,10.61,1.04,,
29022,06 07 25.46,+11 09 07.1,11.52,-0.54,F7,
29036,06 07 33.02,+72 09 07.8,10.62,25.92,M0,1.2
29052,06 07 43.86,-25 44 39.7,11.87,87.64,,1.6
29055,06 07 45.73,-66 58 39.0,11.94,3.3,A5III,0.54
29056,06 07 45.87,+38 07 47.0,10.06,2.6,F0,0.20199999999999999
29060,06 07 48.55,+30 06 23.0,10.1,3.61,G0,0.49200000000000005
29091,06 08 11.92,+24 57 26.2,10.08,1.01,F2,0.46299999999999997
29095,06 08 13.96,-07 35 55.8,10.35,2.05,A0,0.225
29096,06 08 14.54,-28 59 41.8,11.85,28.35,,1.401
29100,06 08 17.37,-30 40 03.3,10.56,8.89,,0.611
29132,06 08 40.75,+09 28 41.7,10.39,31.69,M0,1.6869999999999998
29226,06 09 44.57,-44 49 27.0,10.76,16.78,,1.0190000000000001
29232,06 09 47.08,-16 21 49.8,11.05,16.31,,0.929
29240,06 09 55.51,-07 24 48.9,10.55,2.13,A,0.259
29252,06 10 04.96,+58 11 44.7,10.44,1.67,F8,0.498
29277,06 10 19.63,+82 06 36.0,10.48,106.43,M3,1.514
29291,06 10 31.53,-42 41 42.0,11.46,10.32,,0.7140000000000001
29312,06 10 50.21,+24 05 35.2,10.87,20.84,,
29316,06 10 54.77,+10 19 13.1,10.41,92.77,M3,1.45
29322,06 10 59.63,-65 12 14.2,11.29,33.59,K:,1.42
29385,06 11 32.79,-35 28 55.9,10.73,8.71,,0.988
29395,06 11 41.24,+01 45 57.9,10.39,13.15,F8,0.584
29405,06 11 47.43,+23 59 29.7,10.84,1.66,,
29454,06 12 21.89,+25 31 26.1,10.42,3.2,,2.0
29457,06 12 24.99,+88 07 54.3,10.58,9.87,G2,0.75
29483,06 12 42.33,-34 52 04.7,13.2,2.78,Fp,
29486,06 12 44.46,-48 19 28.8,10.42,2.98,G5,0.439
29528,06 13 14.74,-37 15 00.6,12.69,-5.15,,
29543,06 13 31.29,+17 45 08.4,10.61,7.85,G0,0.84
29570,06 13 48.24,+28 25 42.6,10.44,3.99,F5,0.35100000000000003
29582,06 14 00.65,+38 50 30.1,10.37,20.95,K3,0.99
29597,06 14 14.08,+73 31 48.3,10.14,0.87,F2,0.397
29626,06 14 35.15,-33 37 13.7,10.7,11.85,,0.76
29662,06 14 56.05,+37 52 19.7,11.34,5.16,G5,0.654
29689,06 15 17.52,+22 17 41.8,10.3,3.49,B...,0.4
29755,06 15 56.78,+60 50 45.7,10.79,9.27,K0,0.642
29773,06 16 08.53,-24 17 44.7,11.66,11.91,,
29799,06 16 26.20,-15 02 13.0,10.02,4.73,F3V,0.462
29830,06 16 53.02,-85 11 06.4,10.27,9.56,,0.615
29831,06 16 53.73,-23 54 25.3,10.08,10.42,G5,0.6509999999999999
29853,06 17 10.50,+50 23 22.8,10.05,4.33,F5,0.49200000000000005
29861,06 17 17.44,-34 43 05.1,12.38,-2.69,Fp,
29870,06 17 21.65,+43 00 49.8,10.08,6.59,F2,0.39299999999999996
29875,06 17 25.77,+17 59 22.0,10.26,30.33,M0,1.36
29940,06 18 12.44,+68 29 32.8,10.15,1.76,A5,0.314
29944,06 18 15.33,+62 11 34.4,10.05,12.73,,0.316
29988,06 18 45.52,+15 16 52.2,11.75,-4.54,Be,1.7
30018,06 19 01.25,+38 31 53.9,10.22,16.96,G6,0.737
30047,06 19 20.53,-27 06 05.4,11.21,2.82,Fp,0.75
30098,06 20 03.77,+38 20 45.7,10.74,0.68,G5,0.746
30116,06 20 15.75,-28 04 31.8,10.94,10.68,,0.7709999999999999
30126,06 20 21.93,-55 31 33.4,11.04,18.02,,1.12
30131,06 20 25.86,+41 40 39.0,10.6,0.29,F0,0.142
30164,06 20 50.00,+05 44 41.4,10.25,0.5,A,0.309
30182,06 21 01.13,+30 15 09.8,10.78,3.51,F8,0.569
30189,06 21 04.62,+67 42 59.7,11.32,11.61,K2,0.995
30195,06 21 09.97,-05 29 07.8,11.01,1.27,,0.435
30226,06 21 33.33,+33 57 51.6,10.25,7.21,G0,0.591
30254,06 21 51.16,+24 12 13.4,10.01,1.92,G0,0.584
30256,06 21 54.21,-22 43 26.5,10.76,40.52,,1.44
30280,06 22 10.17,+09 34 05.4,10.83,-2.93,A2,0.21600000000000003
30310,06 22 28.58,-63 41 53.6,10.87,12.19,,1.15
30365,06 23 10.65,+08 54 25.9,11.21,48.08,,
30367,06 23 11.02,+32 58 22.3,10.07,7.23,G0,0.5670000000000001
30383,06 23 19.79,-00 57 15.6,11.43,17.08,,
30391,06 23 26.15,+37 26 44.8,10.01,5.66,F8,0.528
30413,06 23 40.88,-28 40 58.0,11.75,15.73,,
30449,06 24 02.33,+47 42 23.9,10.2,-1.49,CVIIe+,2.45
30459,06 24 11.21,-24 31 50.2,10.82,2.14,,0.11
30487,06 24 30.88,+20 57 41.9,10.03,4.22,B9,0.11699999999999999
30550,06 25 19.01,-60 47 29.1,11.31,16.66,,
30558,06 25 26.11,-36 17 56.1,10.03,1.21,F5V,1.61
30567,06 25 30.22,+48 43 43.1,10.74,17.49,,1.062
30609,06 25 58.89,+30 29 39.8,10.8,2.85,G0V,0.627
30618,06 26 04.92,+27 59 56.5,10.22,6.18,F8,0.55
30631,06 26 11.51,+08 40 02.0,10.08,0.99,B9,-0.024
30652,06 26 26.70,+07 07 45.6,10.8,2.52,B9,0.16399999999999998
30674,06 26 44.47,-12 06 44.8,10.03,-2.24,Asp...,0.094
30721,06 27 15.71,-27 06 43.5,10.96,1.54,,
30725,06 27 18.71,+06 29 45.8,10.33,3.4,A2,0.126
30744,06 27 38.49,+85 35 11.3,12.43,4.21,,0.787
30750,06 27 40.63,-32 17 55.0,10.93,12.39,,0.657
30783,06 28 03.73,-38 26 15.7,12.54,-10.11,Fp,
30809,06 28 22.40,-47 46 40.4,10.99,2.25,,0.726
30839,06 28 38.40,+26 04 17.3,10.53,3.86,F8,0.414
30859,06 28 45.52,+67 36 55.1,10.77,0.41,G0,0.7140000000000001
30888,06 29 01.25,-45 21 56.6,10.76,30.2,,1.34
30920,06 29 23.00,-02 48 44.9,11.12,242.89,M4.5Ve,1.69
30940,06 29 37.31,-39 23 41.5,12.62,-4.47,Fp,
30947,06 29 43.70,+08 59 16.4,10.4,2.19,A,0.221
30949,06 29 45.20,-06 23 34.9,11.08,26.04,M0,1.885
30982,06 30 08.84,+33 55 50.0,10.6,2.64,F2,0.449
30987,06 30 11.69,+28 16 57.5,11.01,-3.35,F5V,0.509
30997,06 30 21.06,+30 57 45.8,12.85,-13.81,K2III...,1.2
31007,06 30 26.15,-39 07 50.8,12.4,-2.5,Fp,
31043,06 30 50.03,-35 50 02.4,11.42,2.23,Gp...,0.527
31045,06 30 50.25,-09 39 05.1,10.28,-3.4,,0.307
31070,06 31 11.87,-37 58 30.1,12.36,6.69,Fp...,
31085,06 31 23.26,-01 34 11.5,10.06,18.12,K0,0.8490000000000001
31097,06 31 31.54,-38 51 54.5,12.72,3.54,Fp,
31108,06 31 39.74,+16 06 52.2,10.43,12.82,N0,1.6
31120,06 31 49.58,+40 11 12.4,10.27,4.19,F8,0.583
31126,06 31 51.34,-43 32 02.3,10.58,41.35,,1.432
31129,06 31 54.84,+30 52 01.3,10.22,0.64,F6V,0.47600000000000003
31132,06 31 56.04,-27 43 51.6,10.96,,,
31148,06 32 08.55,-27 01 56.0,11.42,36.97,M,1.36
31153,06 32 16.07,+14 26 28.4,12.88,,K7V,1.375
31157,06 32 18.38,+52 24 50.2,10.83,,M0,1.26
31183,06 32 35.49,+37 54 12.2,11.49,22.18,,1.18
31185,06 32 36.25,+07 29 02.8,10.34,4.32,A0,0.166
31192,06 32 39.83,+81 12 55.9,10.25,2.12,K0,1.238
31214,06 32 52.01,-47 42 52.2,12.24,-6.4,Fp...,
31228,06 33 00.25,-26 46 45.6,10.06,12.52,,0.723
31289,06 33 42.26,-74 42 01.6,10.05,12.37,K1V,0.853
31293,06 33 43.98,-75 37 50.4,10.35,114.18,,
31292,06 33 47.54,-75 37 32.2,11.41,119.54,,
31300,06 33 50.42,-58 31 49.4,11.62,61.28,M,1.5
31301,06 33 50.79,-47 03 18.5,10.61,2.81,Gp,0.8009999999999999
31306,06 33 54.61,+14 28 17.0,10.9,-2.58,,0.42
31319,06 34 04.95,+27 33 17.4,10.19,3.51,F0,0.418
31327,06 34 08.85,+20 40 36.1,10.16,-1.48,B9,0.063
31358,06 34 32.44,+57 49 46.5,10.19,7.8,,0.6890000000000001
31361,06 34 35.29,+13 04 44.7,11.84,-6.2,,
31378,06 34 44.32,+49 02 20.5,10.48,2.24,A2,0.09
31380,06 34 45.40,+37 25 21.8,10.36,15.06,K5,0.93
31408,06 34 59.25,+08 16 07.9,11.16,5.28,,1.207
31437,06 35 13.17,+29 02 27.5,10.3,,F5V,
31451,06 35 21.38,+44 38 57.0,10.17,22.98,G5V:,1.3
31467,06 35 28.80,+33 00 24.9,10.17,3.1,F8,0.409
31474,06 35 33.82,-69 29 31.3,11.24,10.75,,0.92
31481,06 35 36.06,-62 38 24.3,12.39,-2.46,pec(NOVA),
31493,06 35 45.70,+45 35 21.7,10.1,2.17,F0,0.304
31507,06 35 53.61,-17 53 48.7,10.21,9.64,,0.6940000000000001
31538,06 36 07.85,+66 20 42.2,11.27,16.72,,1.06
31544,06 36 11.06,+29 01 55.1,10.4,0.15,F2V,0.41
31545,06 36 12.04,+26 37 10.2,10.18,-0.19,F5,0.493
31553,06 36 15.91,-26 07 19.1,10.05,-1.88,,0.6459999999999999
31555,06 36 18.40,-40 00 24.2,10.6,51.51,,1.459
31561,06 36 22.11,+27 56 03.6,12.56,5.12,F2V,0.396
31578,06 36 32.54,+27 53 28.5,10.06,8.47,G0,0.615
31609,06 36 57.06,-58 00 53.2,10.07,12.6,,0.875
31613,06 36 59.87,+69 33 27.4,10.8,1.06,A0,0.36200000000000004
31624,06 37 04.84,+03 03 50.3,10.22,3.76,,1.52
31626,06 37 05.29,+19 45 10.7,10.18,29.05,K5,1.2
31658,06 37 33.48,+09 41 57.3,10.22,2.35,A0,-0.023
31671,06 37 40.09,+12 04 22.2,11.15,11.39,G8,0.753
31713,06 38 00.74,+18 33 27.1,11.21,0.37,M0,1.699
31722,06 38 09.42,+59 26 31.5,10.78,4.16,,0.795
31734,06 38 21.22,+18 28 49.5,11.71,25.32,M0,1.699
31740,06 38 24.57,+48 47 57.2,10.11,11.92,G5,0.73
31747,06 38 26.82,+39 44 34.1,10.44,19.37,K3,0.98
31761,06 38 35.98,-52 03 23.9,10.46,6.02,K0,0.693
31797,06 38 53.29,+25 40 44.7,10.66,1.81,F2,0.26899999999999996
31818,06 39 08.60,+67 52 54.9,10.94,4.81,F0,0.37
31829,06 39 17.79,+22 36 18.4,10.33,1.9,N0v,2.591
31833,06 39 19.91,-49 17 36.8,11.48,21.21,,
31845,06 39 30.27,-31 25 50.1,10.51,7.97,G0,0.626
31877,06 39 48.24,+38 28 12.8,10.29,3.81,F8,0.461
31905,06 40 05.58,+07 36 21.0,10.5,-0.28,F6.7,1.147
31910,06 40 07.70,+33 42 40.2,10.23,6.42,G5,0.757
31913,06 40 09.71,+33 42 27.0,10.28,6.76,G5,0.42100000000000004
31931,06 40 22.84,-82 22 50.6,10.35,20.94,,1.0859999999999999
31998,06 41 09.89,+01 10 47.6,11.57,4.64,,
32001,06 41 10.35,+61 08 09.6,11.47,23.86,,
32066,06 41 58.90,+38 01 35.9,10.07,4.29,F5,0.527
32070,06 42 04.02,-45 11 44.7,10.4,1.23,Gp,0.85
32107,06 42 25.73,-46 26 46.3,10.06,6.5,G6/G8V,0.677
32159,06 42 56.41,-30 51 22.2,12.31,14.47,,
32183,06 43 09.25,-11 46 43.6,10.29,1.05,B9,0.013000000000000001
32209,06 43 23.54,+27 15 08.4,10.92,-4.35,F8,0.569
32270,06 44 14.07,-00 55 31.6,11.61,23.79,,1.348
32271,06 44 14.30,-41 40 31.4,11.11,8.53,,0.693
32308,06 44 42.97,+14 54 37.4,10.73,18.07,,0.804
32313,06 44 45.92,+71 53 20.3,10.92,44.43,M0:V:,1.364
32340,06 45 03.08,+09 34 18.9,10.64,,,
32414,06 46 00.82,-66 24 28.9,11.13,21.48,,
32427,06 46 09.12,+34 24 52.9,11.35,-3.69,G5,
32442,06 46 15.51,-12 52 52.5,10.13,0.31,N0,3.35
32450,06 46 20.93,+73 40 44.9,10.04,5.14,G0,0.852
32457,06 46 26.35,-28 30 27.8,10.9,5.94,Gp,
32516,06 47 09.40,+03 58 01.5,10.68,-2.42,,
32530,06 47 15.84,-18 15 32.0,10.56,31.48,M0V:,1.306
32544,06 47 27.99,-40 30 54.9,10.7,28.9,,1.315
32556,06 47 34.96,+37 01 50.0,10.33,2.44,F5,0.597
32560,06 47 38.16,+37 31 05.3,12.06,64.91,DAn,-0.098
32567,06 47 44.94,+58 38 38.7,10.32,3.98,sdF2:,0.444
32573,06 47 48.44,-03 06 29.7,11.05,-1.17,,0.24
32576,06 47 50.62,-30 52 32.1,11.99,7.57,,1.064
32582,06 47 54.26,+38 57 26.5,10.09,1.8,F5,0.5529999999999999
32592,06 47 58.87,+41 10 37.7,10.25,4.1,,0.162
32600,06 48 04.31,-03 02 20.7,10.92,0.94,,0.31
32601,06 48 04.81,-42 08 06.1,10.9,1.6,Gp...,0.9
32603,06 48 06.16,+31 56 26.5,10.51,5.16,F0,0.213
32681,06 49 03.41,-42 28 51.7,10.98,1.21,Gp,0.741
32706,06 49 24.92,-27 32 54.7,10.28,5.86,G3V,0.6990000000000001
32722,06 49 35.54,-22 50 58.2,10.08,4.63,B7V,-0.057
32723,06 49 35.74,+35 08 28.7,10.18,36.16,K5,1.33
32738,06 49 41.01,+53 01 59.3,10.74,-11.62,G,
32749,06 49 45.67,-29 33 20.9,10.03,11.98,G3V,0.636
32751,06 49 47.37,-28 43 40.0,10.68,-1.23,B9.5III/IV,0.052000000000000005
32754,06 49 49.78,+55 52 58.4,10.39,27.35,,1.2770000000000001
120248,06 49 50.74,+66 21 30.2,11.08,10.1,,1.5
32795,06 50 12.99,-27 35 37.2,10.12,0.79,G5V,0.6859999999999999
32804,06 50 18.13,-29 56 52.8,10.03,16.57,K0/K1V,0.978
32816,06 50 27.87,-23 04 25.1,10.06,2.46,A0V,0.121
32825,06 50 35.19,-48 30 34.2,11.95,3.19,Fp,
32834,06 50 41.75,+30 19 44.5,10.14,9.35,G0,0.609
32840,06 50 44.43,-79 05 01.7,10.15,7.67,K1/K2IV,0.841
32845,06 50 46.05,+29 27 11.5,10.28,4.09,G0,0.657
32850,06 50 49.64,+74 32 52.7,10.31,2.66,F0,0.358
32854,06 50 52.27,-01 25 45.2,10.92,0.0,F9,
32862,06 50 56.70,+36 11 15.2,10.86,4.98,F8,0.574
32879,06 51 05.06,+61 31 30.7,10.56,15.18,K0,1.0
32882,06 51 06.29,-24 42 22.6,10.31,2.23,B7/B8III/IV,-0.085
32900,06 51 18.47,+47 40 24.2,10.13,10.05,G8V+...,0.8220000000000001
32914,06 51 27.75,-87 58 59.7,11.43,,K3III:,1.01
32915,06 51 27.85,-01 22 15.9,10.29,-0.8,G7.5,
32939,06 51 42.63,-43 53 14.0,10.06,39.19,M0V,1.0859999999999999
32940,06 51 42.82,+00 33 05.2,10.56,2.39,B9IV,-0.009000000000000001
32983,06 52 16.34,+18 17 31.5,10.3,-0.84,A2,0.183
33021,06 52 44.89,+78 12 09.8,10.97,8.77,,0.909
33014,06 52 46.17,-02 27 29.6,11.0,-0.77,,
33020,06 52 48.16,-21 43 03.4,11.26,17.75,M0,1.419
33028,06 52 54.54,-48 21 42.0,10.02,7.71,G8V,0.735
33034,06 52 58.29,-60 47 10.7,10.86,8.45,,0.75
33042,06 53 01.97,-31 46 50.7,10.56,0.76,,1.55
33049,06 53 05.66,+31 27 17.9,11.33,14.86,,0.428
33125,06 53 54.68,-25 56 33.9,10.13,1.73,Ap Si,-0.015
33131,06 53 56.72,+29 34 12.5,10.24,6.46,G0,0.514
33136,06 53 59.25,-23 42 24.5,10.63,1.49,B8,-0.01
33143,06 54 03.56,+86 43 22.5,10.38,2.12,B8,0.28300000000000003
33142,06 54 03.64,+60 52 27.0,11.01,94.02,M:,1.5519999999999998
33163,06 54 12.32,-07 35 45.0,10.55,-3.72,B9pvar,-0.006999999999999999
33241,06 54 57.03,+12 09 32.4,10.58,20.63,M1,1.2590000000000001
33282,06 55 23.43,+44 25 21.2,11.3,19.33,,1.344
33283,06 55 23.92,-72 38 32.0,11.1,11.4,,0.79
33296,06 55 33.54,+37 54 56.5,10.65,3.83,,0.304
33322,06 55 52.03,+55 38 19.0,10.23,38.78,K4,1.3519999999999999
33329,06 55 54.24,+35 38 57.2,11.21,10.39,,
33368,06 56 22.16,+46 59 27.8,10.91,18.88,,
33376,06 56 30.29,-13 03 33.7,10.23,1.94,B9Ib/II,-0.04
33390,06 56 37.42,-59 11 03.7,12.35,22.34,,1.5
33392,06 56 43.59,-60 41 11.2,10.05,19.84,K,0.9640000000000001
33403,06 56 51.05,-21 08 51.4,10.02,-3.43,B9III,0.05
33404,06 56 51.12,-21 08 29.3,12.84,-3.43,,
33479,06 57 34.75,+38 46 59.0,10.08,4.54,F5,0.5479999999999999
33499,06 57 47.50,-44 17 27.9,10.81,124.62,M4+...,1.636
33500,06 57 48.27,+34 47 48.0,10.47,3.45,F0,0.574
33520,06 58 00.93,-00 22 33.5,10.85,1.61,F8,1.1340000000000001
33565,06 58 27.77,+18 59 50.4,10.57,17.15,K3,0.94
33570,06 58 30.87,-24 05 59.0,10.27,11.13,A0/A1V,0.05
33654,06 59 29.42,-17 15 18.5,10.01,22.78,,1.054
33662,06 59 34.90,+28 16 20.4,10.27,2.69,F5,0.43200000000000005
33702,07 00 07.87,-52 42 39.8,11.2,3.0,Gp...,0.545
33737,07 00 30.48,-79 41 46.5,10.11,15.6,K3V,0.9079999999999999
33739,07 00 34.11,+34 24 11.3,10.28,3.05,F2,0.447
33746,07 00 36.82,+44 10 00.2,10.09,3.55,F8,0.473
33756,07 00 40.15,-14 20 58.7,10.17,2.48,M6,1.264
33759,07 00 42.18,-25 15 58.2,10.03,2.91,B8V,-0.068
33762,07 00 43.98,-12 06 21.3,11.94,28.25,M2,1.7790000000000001
33780,07 00 51.79,-60 01 46.1,10.06,12.16,G3,0.7829999999999999
33791,07 00 59.82,-08 42 32.4,10.38,0.9,F7.5,
33805,07 01 06.38,+59 49 59.7,10.93,43.88,M0,1.476
33818,07 01 14.35,+15 54 49.7,10.13,27.34,K8,1.14
33842,07 01 31.68,+39 48 24.6,10.33,3.27,F0,0.36
33851,07 01 36.87,+06 24 34.7,11.88,12.15,G6:,0.748
33877,07 01 56.31,+00 49 39.9,10.76,3.01,B2,
33915,07 02 17.74,+27 45 05.5,10.78,1.1,F5,0.35200000000000004
33919,07 02 19.46,+38 57 56.7,11.34,-0.79,G0,0.636
33923,07 02 20.96,+28 54 54.1,11.15,0.69,,0.475
33933,07 02 28.89,-14 40 34.7,10.51,23.39,,1.186
33940,07 02 36.49,+31 33 58.0,10.17,17.19,G5,0.87
33946,07 02 39.21,-62 34 28.2,12.12,14.31,,
34034,07 03 38.11,+17 51 30.6,10.5,29.35,K6,1.655
34098,07 04 12.73,+42 37 14.1,10.81,2.33,F5,0.495
34104,07 04 17.78,-10 30 24.6,10.95,64.96,M5,1.535
34115,07 04 25.40,+68 17 19.2,11.95,65.44,M5,1.527
